round,a,b,m,f(a),f(m)
1,1.0,1.5,1.25,-1.0,2.65625
2,1.0,1.25,1.125,-1.0,0.66015625
3,1.0,1.125,1.0625,-1.0,-0.21044921875
4,1.0625,1.125,1.09375,-0.21044921875,0.21453857421875
5,1.0625,1.09375,1.078125,-0.21044921875,-0.00051116943359375
6,1.078125,1.09375,1.0859375,-0.00051116943359375,0.10637187957763672
7,1.078125,1.0859375,1.08203125,-0.00051116943359375,0.052770256996154785
8,1.078125,1.08203125,1.080078125,-0.00051116943359375,0.026089563965797424
9,1.078125,1.080078125,1.0791015625,-0.00051116943359375,0.012779207900166512
10,1.078125,1.0791015625,1.07861328125,-0.00051116943359375,0.00613152259029448
